action,file,mos,bucket
KEEP,preprocess/A2O1A1Ixp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/A2O1A1O1Ixp25_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AND2x2_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AND2x4_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AND2x6_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AND3x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AND3x2_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AND3x4_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AND4x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AND4x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AND5x1_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AND5x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AO211x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AO21x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AO21x2_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AO221x1_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AO221x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AO222x2_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/AO22x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AO22x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AO31x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AO322x2_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/AO32x1_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AO32x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AO331x1_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/AO331x2_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/AO332x1_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/AO332x2_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/AO333x1_ASAP7_75t_R.json,20,16-20
KEEP,preprocess/AO333x2_ASAP7_75t_R.json,20,16-20
KEEP,preprocess/AO33x2_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/AOI211x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI211xp5_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI21x1_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AOI21xp33_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AOI21xp5_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/AOI221x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AOI221xp5_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AOI222xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AOI22x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI22xp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI22xp5_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI311xp33_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AOI31xp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI31xp67_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/AOI321xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/AOI322xp5_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/AOI32xp33_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/AOI331xp33_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/AOI332xp33_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/AOI333xp33_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/AOI33xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/ASYNC_DFFHx1_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/BUFx10_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx12_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx12f_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx16f_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx24_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx2_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx3_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx4_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx4f_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx5_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx6f_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/BUFx8_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/DFFHQNx1_ASAP7_75t_R.json,24,21-25
KEEP,preprocess/DFFHQNx2_ASAP7_75t_R.json,24,21-25
KEEP,preprocess/DFFHQNx3_ASAP7_75t_R.json,24,21-25
