Cell:,AOI332xp33_ASAP7_75t_R,Width:,24,HPWL:,68.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,0.0,R0,NMOS,False
MM7,0.000,1.0,MX,PMOS,False
MM8,0.162,1.0,MX_R180,PMOS,True
MM10,0.162,0.0,R0,NMOS,False
MM9,0.324,1.0,MX,PMOS,False
MM4,0.486,1.0,MX_R180,PMOS,True
MM2,0.324,0.0,MY,NMOS,True
MM5,0.648,1.0,MX_R180,PMOS,True
MM6,0.810,1.0,MX_R180,PMOS,True
MM11,0.486,0.0,MY,NMOS,True
MM1,0.972,1.0,MX,PMOS,False
MM14,0.648,0.0,R0,NMOS,False
MM12,0.810,0.0,MY,NMOS,True
MM0,1.134,1.0,MX_R180,PMOS,True
MM17,0.972,0.0,R0,NMOS,False
MM16,1.134,0.0,R0,NMOS,False
