Cell:,DHLx2_ASAP7_75t_R,Width:,19,HPWL:,55.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX,PMOS,False
MM24,0.000,0.0,R0,NMOS,False
MM25,0.162,1.0,MX_R180,PMOS,True
MM5,0.324,0.0,R0,NMOS,False
MM1,0.486,1.0,MX,PMOS,False
MM4,0.486,0.0,R0,NMOS,False
MM9,0.648,0.0,R0,NMOS,False
MM6,0.702,0.0,MY,NMOS,True
MM10,0.648,1.0,MX,PMOS,False
MM11,0.702,1.0,MX_R180,PMOS,True
MM2,0.756,0.0,MY,NMOS,True
MM0,0.864,0.0,R0,NMOS,False
MM7,0.756,1.0,MX_R180,PMOS,True
MM12,0.810,1.0,MX,PMOS,False
MM13,0.918,1.0,MX_R180,PMOS,True
MM8,0.972,0.0,MY,NMOS,True
