Cell:,DLLx2_ASAP7_75t_R,Width:,19,HPWL:,54.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX_R180,PMOS,True
MM24,0.000,0.0,R0,NMOS,False
MM5,0.324,0.0,R0,NMOS,False
MM25,0.162,1.0,MX,PMOS,False
MM1,0.486,1.0,MX,PMOS,False
MM7,0.648,1.0,MX,PMOS,False
MM4,0.486,0.0,R0,NMOS,False
MM6,0.648,0.0,MY,NMOS,True
MM9,0.702,0.0,R0,NMOS,False
MM10,0.702,1.0,MX,PMOS,False
MM21,0.756,1.0,MX_R180,PMOS,True
MM20,0.756,0.0,MY,NMOS,True
MM22,0.864,1.0,MX_R180,PMOS,True
MM23,0.864,0.0,MY,NMOS,True
MM8,0.972,0.0,MY,NMOS,True
MM11,0.972,1.0,MX,PMOS,False
