Cell:,OA333x2_ASAP7_75t_R,Width:,33,HPWL:,97.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX_R180,PMOS,True
MM16,0.324,1.0,MX,PMOS,False
MM13,0.486,1.0,MX_R180,PMOS,True
MM17,0.648,1.0,MX_R180,PMOS,True
MM3,0.810,1.0,MX,PMOS,False
MM14,0.972,1.0,MX_R180,PMOS,True
MM18,0.000,0.0,R0,NMOS,False
MM12,1.134,1.0,MX_R180,PMOS,True
MM15,0.324,0.0,R0,NMOS,False
MM2,1.296,1.0,MX,PMOS,False
MM11,1.458,1.0,MX_R180,PMOS,True
MM10,1.620,1.0,MX_R180,PMOS,True
MM5,0.486,0.0,MY,NMOS,True
MM1,0.648,0.0,R0,NMOS,False
MM0,0.810,0.0,R0,NMOS,False
MM4,0.972,0.0,MY,NMOS,True
MM7,1.134,0.0,R0,NMOS,False
MM6,1.296,0.0,R0,NMOS,False
MM9,1.458,0.0,MY,NMOS,True
MM8,1.620,0.0,MY,NMOS,True
