Cell:,ASYNC_DFFHx1_ASAP7_75t_R,Width:,31,HPWL:,157.00
Name,X,Y,Orient,Row,Flipped
MM49,0.000,1.0,MX,PMOS,False
MM11,0.054,1.0,MX,PMOS,False
MM45,0.108,1.0,MX,PMOS,False
MM44,0.000,0.0,R0,NMOS,False
MM46,0.216,1.0,MX_R180,PMOS,True
MM43,0.054,0.0,MY,NMOS,True
MM28,0.324,1.0,MX_R180,PMOS,True
MM7,0.432,1.0,MX,PMOS,False
MM42,0.540,1.0,MX_R180,PMOS,True
MM47,0.162,0.0,MY,NMOS,True
MM21,0.648,1.0,MX,PMOS,False
MM12,0.270,0.0,R0,NMOS,False
MM37,0.756,1.0,MX_R180,PMOS,True
MM6,0.324,0.0,MY,NMOS,True
MM13,0.864,1.0,MX_R180,PMOS,True
MM35,0.918,1.0,MX_R180,PMOS,True
MM29,0.378,0.0,MY,NMOS,True
MM8,0.432,0.0,MY,NMOS,True
MM34,0.540,0.0,MY,NMOS,True
MM33,0.648,0.0,R0,NMOS,False
MM25,1.026,1.0,MX,PMOS,False
MM48,0.702,0.0,R0,NMOS,False
MM24,0.810,0.0,MY,NMOS,True
MM10,1.188,1.0,MX_R180,PMOS,True
MM23,0.972,0.0,MY,NMOS,True
MM9,1.080,0.0,R0,NMOS,False
MM22,1.242,1.0,MX,PMOS,False
MM1,1.350,1.0,MX,PMOS,False
MM20,1.188,0.0,R0,NMOS,False
MM4,1.296,0.0,R0,NMOS,False
MM3,1.512,1.0,MX_R180,PMOS,True
MM5,1.458,0.0,R0,NMOS,False
