Cell:,DFFLQNx3_ASAP7_75t_R,Width:,26,HPWL:,75.00
Name,X,Y,Orient,Row,Flipped
MM26,0.000,1.0,MX,PMOS,False
MM8,0.000,0.0,R0,NMOS,False
MM6,0.054,0.0,R0,NMOS,False
MM11,0.108,1.0,MX_R180,PMOS,True
MM7,0.162,1.0,MX_R180,PMOS,True
MM9,0.108,0.0,MY,NMOS,True
MM2,0.216,1.0,MX_R180,PMOS,True
MM19,0.324,1.0,MX,PMOS,False
MM10,0.378,1.0,MX_R180,PMOS,True
MM27,0.162,0.0,MY,NMOS,True
MM0,0.270,0.0,MY,NMOS,True
MM13,0.432,1.0,MX,PMOS,False
MM16,0.378,0.0,MY,NMOS,True
MM18,0.486,1.0,MX,PMOS,False
MM1,0.540,1.0,MX_R180,PMOS,True
MM12,0.432,0.0,R0,NMOS,False
MM17,0.486,0.0,MY,NMOS,True
MM4,0.540,0.0,MY,NMOS,True
MM15,0.702,1.0,MX,PMOS,False
MM14,0.702,0.0,R0,NMOS,False
MM3,0.756,1.0,MX,PMOS,False
MM25,0.918,1.0,MX_R180,PMOS,True
MM5,0.756,0.0,MY,NMOS,True
MM24,0.918,0.0,MY,NMOS,True
