Cell:,FAx1_ASAP7_75t_R,Width:,36,HPWL:,145.00
Name,X,Y,Orient,Row,Flipped
MM20,0.000,1.0,MX_R180,PMOS,True
MM21,0.162,1.0,MX,PMOS,False
MM12,0.324,1.0,MX_R180,PMOS,True
MM14,0.486,1.0,MX_R180,PMOS,True
MM22,0.648,1.0,MX,PMOS,False
MM15,0.810,1.0,MX_R180,PMOS,True
MM0,0.972,1.0,MX_R180,PMOS,True
MM13,1.134,1.0,MX_R180,PMOS,True
MM10,0.000,0.0,R0,NMOS,False
MM2,1.296,1.0,MX,PMOS,False
MM1,1.458,1.0,MX_R180,PMOS,True
MM24,0.162,0.0,MY,NMOS,True
MM11,0.324,0.0,R0,NMOS,False
MM8,0.486,0.0,MY,NMOS,True
MM6,1.620,1.0,MX_R180,PMOS,True
MM23,0.648,0.0,R0,NMOS,False
MM9,0.810,0.0,R0,NMOS,False
MM25,0.972,0.0,R0,NMOS,False
MM5,1.782,1.0,MX,PMOS,False
MM7,1.134,0.0,MY,NMOS,True
MM17,1.296,0.0,R0,NMOS,False
MM16,1.458,0.0,R0,NMOS,False
MM19,1.620,0.0,MY,NMOS,True
MM18,1.782,0.0,R0,NMOS,False
