Cell:,SDFHx1_ASAP7_75t_R,Width:,30,HPWL:,118.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM19,0.054,1.0,MX_R180,PMOS,True
MM23,0.000,0.0,MY,NMOS,True
MM14,0.108,0.0,R0,NMOS,False
MM8,0.162,0.0,R0,NMOS,False
MM9,0.216,0.0,R0,NMOS,False
MM18,0.108,1.0,MX,PMOS,False
MM12,0.270,0.0,MY,NMOS,True
MM22,0.162,1.0,MX_R180,PMOS,True
MM16,0.324,0.0,R0,NMOS,False
MM17,0.378,0.0,R0,NMOS,False
MM24,0.432,0.0,MY,NMOS,True
MM6,0.594,0.0,R0,NMOS,False
MM20,0.648,0.0,R0,NMOS,False
MM15,0.270,1.0,MX_R180,PMOS,True
MM10,0.324,1.0,MX_R180,PMOS,True
MM13,0.378,1.0,MX_R180,PMOS,True
MM7,0.432,1.0,MX,PMOS,False
MM25,0.486,1.0,MX,PMOS,False
MM21,0.648,1.0,MX_R180,PMOS,True
MM1,0.756,1.0,MX,PMOS,False
MM4,0.756,0.0,MY,NMOS,True
MM31,0.918,1.0,MX,PMOS,False
MM27,0.972,1.0,MX,PMOS,False
MM30,0.918,0.0,MY,NMOS,True
MM3,1.134,1.0,MX_R180,PMOS,True
MM2,1.296,1.0,MX_R180,PMOS,True
MM26,1.458,1.0,MX,PMOS,False
MM28,0.972,0.0,R0,NMOS,False
MM0,1.134,0.0,R0,NMOS,False
MM29,1.296,0.0,R0,NMOS,False
MM5,1.458,0.0,R0,NMOS,False
