Cell:,SDFLx1_ASAP7_75t_R,Width:,32,HPWL:,124.00
Name,X,Y,Orient,Row,Flipped
MM7,0.000,1.0,MX,PMOS,False
MM6,0.000,0.0,MY,NMOS,True
MM18,0.054,1.0,MX,PMOS,False
MM19,0.108,1.0,MX,PMOS,False
MM11,0.162,1.0,MX,PMOS,False
MM13,0.216,1.0,MX_R180,PMOS,True
MM12,0.054,0.0,MY,NMOS,True
MM17,0.108,0.0,MY,NMOS,True
MM8,0.162,0.0,MY,NMOS,True
MM15,0.270,1.0,MX,PMOS,False
MM14,0.216,0.0,MY,NMOS,True
MM25,0.324,1.0,MX_R180,PMOS,True
MM10,0.486,1.0,MX,PMOS,False
MM24,0.270,0.0,MY,NMOS,True
MM22,0.540,1.0,MX_R180,PMOS,True
MM16,0.432,0.0,R0,NMOS,False
MM21,0.648,1.0,MX_R180,PMOS,True
MM9,0.486,0.0,MY,NMOS,True
MM23,0.540,0.0,MY,NMOS,True
MM20,0.648,0.0,MY,NMOS,True
MM1,0.756,1.0,MX,PMOS,False
MM4,0.756,0.0,R0,NMOS,False
MM3,0.918,1.0,MX,PMOS,False
MM31,1.080,1.0,MX,PMOS,False
MM30,1.242,1.0,MX,PMOS,False
MM27,1.404,1.0,MX,PMOS,False
MM29,0.918,0.0,MY,NMOS,True
MM5,1.080,0.0,MY,NMOS,True
MM0,1.242,0.0,R0,NMOS,False
MM2,1.566,1.0,MX_R180,PMOS,True
MM32,1.404,0.0,MY,NMOS,True
MM26,1.566,0.0,R0,NMOS,False
