Cell:,DHLx1_ASAP7_75t_R,Width:,16,HPWL:,45.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX,PMOS,False
MM5,0.000,0.0,R0,NMOS,False
MM1,0.162,1.0,MX,PMOS,False
MM12,0.324,1.0,MX_R180,PMOS,True
MM25,0.432,1.0,MX_R180,PMOS,True
MM4,0.162,0.0,MY,NMOS,True
MM0,0.324,0.0,R0,NMOS,False
MM24,0.432,0.0,MY,NMOS,True
MM2,0.594,0.0,R0,NMOS,False
MM13,0.594,1.0,MX,PMOS,False
MM10,0.702,1.0,MX_R180,PMOS,True
MM9,0.702,0.0,R0,NMOS,False
MM7,0.756,1.0,MX_R180,PMOS,True
MM6,0.756,0.0,MY,NMOS,True
MM11,0.810,1.0,MX,PMOS,False
MM8,0.810,0.0,R0,NMOS,False
