Cell:,OA331x2_ASAP7_75t_R,Width:,27,HPWL:,61.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX_R180,PMOS,True
MM18,0.000,0.0,MY,NMOS,True
MM17,0.324,1.0,MX,PMOS,False
MM14,0.486,1.0,MX_R180,PMOS,True
MM2,0.648,1.0,MX,PMOS,False
MM12,0.810,1.0,MX_R180,PMOS,True
MM3,0.972,1.0,MX_R180,PMOS,True
MM11,1.134,1.0,MX,PMOS,False
MM1,0.324,0.0,R0,NMOS,False
MM10,1.296,1.0,MX,PMOS,False
MM6,0.486,0.0,MY,NMOS,True
MM5,0.648,0.0,R0,NMOS,False
MM4,0.810,0.0,MY,NMOS,True
MM8,0.972,0.0,R0,NMOS,False
MM9,1.134,0.0,R0,NMOS,False
MM7,1.296,0.0,MY,NMOS,True
