Cell:,DFFLQNx2_ASAP7_75t_R,Width:,23,HPWL:,84.00
Name,X,Y,Orient,Row,Flipped
MM16,0.000,0.0,R0,NMOS,False
MM19,0.000,1.0,MX,PMOS,False
MM8,0.054,0.0,R0,NMOS,False
MM7,0.054,1.0,MX_R180,PMOS,True
MM11,0.108,1.0,MX_R180,PMOS,True
MM9,0.108,0.0,R0,NMOS,False
MM6,0.162,0.0,R0,NMOS,False
MM10,0.162,1.0,MX,PMOS,False
MM12,0.216,0.0,R0,NMOS,False
MM13,0.216,1.0,MX_R180,PMOS,True
MM17,0.270,0.0,R0,NMOS,False
MM18,0.270,1.0,MX,PMOS,False
MM20,0.324,0.0,MY,NMOS,True
MM15,0.324,1.0,MX_R180,PMOS,True
MM21,0.378,1.0,MX,PMOS,False
MM22,0.486,1.0,MX,PMOS,False
MM23,0.432,0.0,MY,NMOS,True
MM1,0.594,1.0,MX,PMOS,False
MM14,0.540,0.0,MY,NMOS,True
MM4,0.594,0.0,R0,NMOS,False
MM25,0.756,1.0,MX,PMOS,False
MM24,0.756,0.0,R0,NMOS,False
MM5,1.080,0.0,R0,NMOS,False
MM3,1.080,1.0,MX_R180,PMOS,True
