Cell:,DFFLQx4_ASAP7_75t_R,Width:,35,HPWL:,87.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX_R180,PMOS,True
MM21,0.054,1.0,MX,PMOS,False
MM11,0.162,1.0,MX_R180,PMOS,True
MM10,0.216,1.0,MX,PMOS,False
MM8,0.000,0.0,MY,NMOS,True
MM16,0.054,0.0,R0,NMOS,False
MM20,0.108,0.0,MY,NMOS,True
MM9,0.216,0.0,R0,NMOS,False
MM7,0.270,1.0,MX,PMOS,False
MM6,0.270,0.0,MY,NMOS,True
MM22,0.324,1.0,MX_R180,PMOS,True
MM18,0.432,1.0,MX,PMOS,False
MM1,0.486,1.0,MX_R180,PMOS,True
MM23,0.324,0.0,R0,NMOS,False
MM13,0.648,1.0,MX_R180,PMOS,True
MM17,0.432,0.0,R0,NMOS,False
MM4,0.486,0.0,MY,NMOS,True
MM12,0.648,0.0,R0,NMOS,False
MM15,0.702,1.0,MX,PMOS,False
MM14,0.702,0.0,MY,NMOS,True
MM3,0.756,1.0,MX_R180,PMOS,True
MM5,0.756,0.0,MY,NMOS,True
MM24,0.918,0.0,R0,NMOS,False
MM25,0.918,1.0,MX,PMOS,False
MM0,1.242,0.0,R0,NMOS,False
MM2,1.242,1.0,MX,PMOS,False
