Cell:,DLLx3_ASAP7_75t_R,Width:,22,HPWL:,36.00
Name,X,Y,Orient,Row,Flipped
MM21,0.000,1.0,MX_R180,PMOS,True
MM22,0.108,1.0,MX_R180,PMOS,True
MM11,0.216,1.0,MX_R180,PMOS,True
MM10,0.270,1.0,MX,PMOS,False
MM20,0.000,0.0,R0,NMOS,False
MM23,0.108,0.0,R0,NMOS,False
MM8,0.216,0.0,R0,NMOS,False
MM1,0.324,1.0,MX,PMOS,False
MM7,0.486,1.0,MX_R180,PMOS,True
MM9,0.270,0.0,R0,NMOS,False
MM4,0.324,0.0,R0,NMOS,False
MM3,0.540,1.0,MX,PMOS,False
MM6,0.486,0.0,MY,NMOS,True
MM25,0.702,1.0,MX_R180,PMOS,True
MM5,0.540,0.0,MY,NMOS,True
MM24,0.702,0.0,R0,NMOS,False
