Cell:,OA333x2_ASAP7_75t_R,Width:,33,HPWL:,97.00
Name,X,Y,Orient,Row,Flipped
MM10,0.000,1.0,MX,PMOS,False
MM3,0.162,1.0,MX,PMOS,False
MM2,0.324,1.0,MX,PMOS,False
MM13,0.486,1.0,MX,PMOS,False
MM16,0.648,1.0,MX_R180,PMOS,True
MM11,0.810,1.0,MX,PMOS,False
MM7,0.000,0.0,R0,NMOS,False
MM8,0.162,0.0,MY,NMOS,True
MM9,0.324,0.0,R0,NMOS,False
MM6,0.486,0.0,MY,NMOS,True
MM14,0.972,1.0,MX_R180,PMOS,True
MM4,0.648,0.0,MY,NMOS,True
MM5,0.810,0.0,R0,NMOS,False
MM17,1.134,1.0,MX,PMOS,False
MM12,1.296,1.0,MX,PMOS,False
MM0,0.972,0.0,MY,NMOS,True
MM15,1.134,0.0,R0,NMOS,False
MM1,1.296,0.0,MY,NMOS,True
MM18,1.458,0.0,MY,NMOS,True
MM19,1.458,1.0,MX,PMOS,False
