Cell:,SDFHx3_ASAP7_75t_R,Width:,36,HPWL:,123.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX,PMOS,False
MM8,0.000,0.0,R0,NMOS,False
MM10,0.054,1.0,MX,PMOS,False
MM16,0.054,0.0,MY,NMOS,True
MM9,0.108,0.0,MY,NMOS,True
MM6,0.162,0.0,R0,NMOS,False
MM7,0.108,1.0,MX,PMOS,False
MM19,0.162,1.0,MX_R180,PMOS,True
MM23,0.216,0.0,MY,NMOS,True
MM22,0.216,1.0,MX_R180,PMOS,True
MM20,0.324,0.0,R0,NMOS,False
MM21,0.324,1.0,MX_R180,PMOS,True
MM13,0.432,1.0,MX,PMOS,False
MM12,0.432,0.0,R0,NMOS,False
MM1,0.486,1.0,MX,PMOS,False
MM17,0.486,0.0,MY,NMOS,True
MM18,0.648,1.0,MX,PMOS,False
MM31,0.702,1.0,MX,PMOS,False
MM4,0.540,0.0,MY,NMOS,True
MM30,0.702,0.0,MY,NMOS,True
MM14,0.756,0.0,R0,NMOS,False
MM15,0.756,1.0,MX_R180,PMOS,True
MM3,0.810,1.0,MX_R180,PMOS,True
MM27,0.972,1.0,MX,PMOS,False
MM0,0.810,0.0,MY,NMOS,True
MM2,1.134,1.0,MX_R180,PMOS,True
MM26,1.296,1.0,MX_R180,PMOS,True
MM28,0.972,0.0,MY,NMOS,True
MM29,1.134,0.0,MY,NMOS,True
MM5,1.296,0.0,R0,NMOS,False
MM24,1.458,0.0,R0,NMOS,False
MM25,1.458,1.0,MX_R180,PMOS,True
